Month,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,Age_Group
Jan,Wednesday,Mazda,Urban,Wednesday,Jan,Male,Single,23,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,10,400,2,more than 30,more than 30,more than 4,3 years,26 to 30,No,No,External,3 to 5,4 to 8 years,2 vehicles,Liability,Young
Jan,Wednesday,Pontiac,Urban,Thursday,Jan,Female,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,Adult
Feb,Wednesday,Honda,Urban,Wednesday,Feb,Female,Married,39,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Adult
Feb,Thursday,Chevrolet,Rural,Monday,Feb,Male,Single,35,Third Party,Sedan - All Perils,Sedan,more than 69000,0,14,400,2,more than 30,more than 30,2 to 4,3 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Mar,Friday,Mazda,Urban,Friday,Mar,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,9,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Mar,Thursday,Chevrolet,Urban,Tuesday,Mar,Female,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Apr,Monday,Pontiac,Urban,Wednesday,Apr,Male,Married,69,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,13,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,All Perils,Senior
Feb,Friday,Toyota,Rural,Wednesday,Mar,Male,Married,26,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,3,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Mar,Wednesday,Honda,Rural,Thursday,Mar,Male,Married,57,Third Party,Sedan - Liability,Sport,20000 to 29000,0,4,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Mar,Wednesday,Honda,Urban,Wednesday,Mar,Male,Single,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,Adult
Jun,Tuesday,Chevrolet,Urban,Wednesday,Jul,Male,Married,41,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,6,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,Middle Age
Nov,Friday,Dodge,Urban,Tuesday,Nov,Male,Single,26,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,3,700,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Oct,Monday,Mazda,Urban,Thursday,Nov,Male,Single,26,Third Party,Sedan - Liability,Sport,20000 to 29000,0,12,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Mar,Saturday,Mazda,Urban,Thursday,Apr,Female,Single,33,Third Party,Sedan - Collision,Sedan,less than 20000,0,6,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Apr,Saturday,Toyota,Urban,Monday,Jun,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,5,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
May,Friday,Mazda,Urban,Wednesday,May,Male,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,15,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Apr,Thursday,Pontiac,Urban,Friday,Jul,Male,Single,31,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,15,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Jun,Monday,Mazda,Urban,Tuesday,Jun,Male,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12,400,4,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Jun,Sunday,Pontiac,Urban,Monday,Jun,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,8,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Adult
Jul,Friday,Pontiac,Urban,Friday,Jul,Male,Married,30,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Jun,Sunday,Honda,Urban,Wednesday,Jul,Female,Married,43,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,2,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,Middle Age
Jun,Saturday,Toyota,Urban,Wednesday,Jun,Male,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,10,400,2,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,Collision,Adult
Aug,Tuesday,Toyota,Urban,Wednesday,Aug,Male,Married,33,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,9,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Jul,Saturday,Accura,Urban,Thursday,Jul,Male,Single,30,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,7,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Jul,Monday,Pontiac,Urban,Wednesday,Jul,Male,Married,71,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4,500,1,more than 30,more than 30,1,more than 7,over 65,No,No,External,1 to 2,2 to 3 years,1 vehicle,All Perils,Senior
Aug,Monday,Toyota,Rural,Monday,Aug,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,14,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,Collision,Adult
Jun,Friday,Honda,Urban,Monday,Jun,Male,Married,55,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,6,400,3,more than 30,more than 30,1,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Jun,Friday,Mazda,Urban,Friday,Jul,Female,Married,32,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,15,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,All Perils,Adult
Mar,Wednesday,Pontiac,Urban,Tuesday,Mar,Male,Single,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,5,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Mar,Friday,Honda,Urban,Friday,Mar,Male,Married,74,Third Party,Sedan - Liability,Sport,20000 to 29000,0,13,400,3,more than 30,more than 30,more than 4,7 years,over 65,No,No,External,none,no change,1 vehicle,Liability,Senior
Jun,Friday,Honda,Rural,Friday,Jun,Male,Single,20,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,6,400,2,more than 30,more than 30,more than 4,4 years,21 to 25,No,No,External,more than 5,no change,1 vehicle,All Perils,Young
Apr,Friday,Pontiac,Rural,Friday,Apr,Male,Married,38,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,1,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Apr,Thursday,Toyota,Urban,Thursday,Apr,Male,Married,38,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,2,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,Adult
Jul,Friday,Honda,Urban,Thursday,Jul,Male,Married,52,Third Party,Sedan - Liability,Sport,30000 to 39000,0,11,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Liability,Middle Age
Nov,Monday,Toyota,Urban,Friday,Nov,Male,Single,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,Adult
Jun,Friday,Accura,Urban,Monday,Jul,Male,Married,51,Policy Holder,Utility - All Perils,Utility,more than 69000,1,4,400,4,15 to 30,more than 30,1,5 years,41 to 50,No,No,External,none,1 year,1 vehicle,All Perils,Middle Age
Nov,Tuesday,Mazda,Urban,Thursday,Dec,Male,Married,42,Policy Holder,Utility - All Perils,Utility,more than 69000,0,4,400,3,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,none,no change,3 to 4,All Perils,Middle Age
Nov,Monday,Toyota,Urban,Friday,Nov,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,14,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Jun,Saturday,Mazda,Urban,Thursday,Jun,Male,Married,41,Policy Holder,Sedan - Collision,Sedan,more than 69000,1,2,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
May,Saturday,Honda,Urban,Monday,May,Male,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jun,Friday,Mazda,Urban,Tuesday,Jun,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,16,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Jul,Saturday,Pontiac,Urban,Friday,Jul,Male,Married,64,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,10,400,2,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,All Perils,Senior
Jun,Wednesday,Mazda,Rural,Monday,Jul,Male,Single,33,Third Party,Sport - Collision,Sport,more than 69000,0,4,400,1,more than 30,more than 30,1,5 years,31 to 35,Yes,No,External,more than 5,4 to 8 years,2 vehicles,Collision,Adult
Jul,Sunday,Pontiac,Urban,Tuesday,Jul,Male,Married,72,Third Party,Sedan - All Perils,Sedan,less than 20000,0,12,400,3,more than 30,more than 30,none,7 years,over 65,No,No,External,3 to 5,no change,1 vehicle,All Perils,Senior
Jun,Saturday,Pontiac,Urban,Tuesday,Jul,Male,Married,29,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,8,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Aug,Friday,Mercury,Urban,Monday,Aug,Male,Married,58,Third Party,Sedan - All Perils,Sedan,more than 69000,0,5,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,All Perils,Middle Age
Jun,Saturday,Mazda,Urban,Monday,Jun,Male,Married,35,Policy Holder,Sport - Collision,Sport,more than 69000,1,11,400,3,more than 30,more than 30,none,3 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Aug,Wednesday,Saturn,Urban,Friday,Aug,Male,Married,46,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,16,400,2,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Sep,Saturday,Mazda,Urban,Monday,Sep,Male,Single,30,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,6,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Sep,Monday,Pontiac,Urban,Tuesday,Sep,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,5,400,1,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Oct,Monday,Pontiac,Urban,Monday,Oct,Male,Married,42,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,4,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Oct,Friday,Pontiac,Urban,Thursday,Nov,Male,Married,42,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,7,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,Middle Age
Nov,Saturday,Mercury,Rural,Tuesday,Nov,Male,Married,42,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,10,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Nov,Friday,Mazda,Urban,Friday,Nov,Male,Married,31,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,13,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,Adult
Nov,Saturday,Toyota,Urban,Tuesday,Dec,Male,Married,32,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11,400,3,more than 30,more than 30,none,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
Dec,Monday,Pontiac,Urban,Tuesday,Jan,Female,Married,38,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,14,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Dec,Monday,Pontiac,Urban,Tuesday,Dec,Male,Married,43,Third Party,Sedan - Liability,Sport,30000 to 39000,0,16,400,2,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Liability,Middle Age
Apr,Wednesday,Honda,Urban,Wednesday,Apr,Male,Married,29,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12,400,1,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Jun,Sunday,Toyota,Urban,Monday,Jun,Male,Married,45,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,2,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,All Perils,Middle Age
May,Monday,Toyota,Urban,Monday,May,Male,Married,64,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11,400,4,more than 30,more than 30,none,6 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,Collision,Senior
May,Saturday,Toyota,Urban,Tuesday,Jun,Male,Married,48,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,Middle Age
Jul,Monday,Accura,Urban,Wednesday,Aug,Male,Married,56,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,8,400,1,more than 30,more than 30,more than 4,more than 7,51 to 65,No,Yes,External,none,no change,1 vehicle,All Perils,Middle Age
Sep,Friday,Pontiac,Urban,Friday,Sep,Male,Single,61,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,12,400,2,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,Liability,Senior
Jun,Sunday,Mazda,Urban,Monday,Jun,Female,Married,28,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,8,400,2,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,3 to 5,4 to 8 years,2 vehicles,Collision,Adult
Sep,Friday,Pontiac,Urban,Tuesday,Sep,Male,Married,36,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,13,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Adult
Aug,Monday,Chevrolet,Urban,Wednesday,Aug,Male,Married,47,Policy Holder,Sedan - Liability,Sport,40000 to 59000,0,6,400,4,more than 30,more than 30,more than 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,Liability,Middle Age
Nov,Wednesday,Mazda,Urban,Wednesday,Nov,Male,Married,40,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12,400,1,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,Adult
Nov,Sunday,Pontiac,Rural,Tuesday,Nov,Male,Single,26,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Jun,Monday,Mazda,Urban,Monday,Jun,Male,Married,57,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11,400,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,1 to 2,no change,1 vehicle,Collision,Middle Age
Oct,Saturday,Honda,Urban,Monday,Oct,Female,Married,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2,400,3,more than 30,more than 30,1,4 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Aug,Sunday,Honda,Urban,Wednesday,Aug,Male,Married,38,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,16,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Adult
Aug,Wednesday,Toyota,Urban,Friday,Aug,Male,Married,26,Third Party,Sedan - Liability,Sport,20000 to 29000,0,13,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,Adult
Jul,Tuesday,Mazda,Urban,Wednesday,Jul,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,7,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,Adult
Jul,Tuesday,Mazda,Urban,Wednesday,Aug,Male,Married,41,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,15,700,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Liability,Middle Age
Jun,Monday,Pontiac,Urban,Monday,Jul,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,9,400,3,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,Adult
May,Friday,Chevrolet,Urban,Thursday,May,Male,Married,36,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,13,500,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,2 to 3 years,1 vehicle,Liability,Adult
Apr,Sunday,Toyota,Urban,Wednesday,May,Male,Married,43,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,9,400,4,15 to 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,Middle Age
Apr,Saturday,Pontiac,Urban,Tuesday,Apr,Male,Married,34,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,4,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,3 to 4,Liability,Adult
Apr,Saturday,Mazda,Urban,Wednesday,Apr,Male,Married,64,Third Party,Sedan - Liability,Sport,20000 to 29000,0,5,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Liability,Senior
Dec,Monday,Honda,Urban,Monday,Dec,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,14,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Adult
Dec,Tuesday,Honda,Urban,Monday,Dec,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,5,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,Adult
Jun,Monday,Accura,Urban,Monday,Jun,Male,Married,44,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,14,400,3,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,All Perils,Middle Age
Dec,Friday,Honda,Urban,Friday,Dec,Female,Married,44,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,8,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,Middle Age
Dec,Monday,Honda,Urban,Monday,Dec,Male,Married,40,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,4,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,Adult
Nov,Saturday,Mazda,Urban,Monday,Nov,Male,Married,43,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,15,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,4 to 8 years,2 vehicles,Liability,Middle Age
Nov,Sunday,Toyota,Urban,Thursday,Nov,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,2,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,Middle Age
Nov,Friday,Toyota,Urban,Wednesday,Dec,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,6,400,2,more than 30,more than 30,none,7 years,36 to 40,Yes,No,External,1 to 2,no change,1 vehicle,Collision,Adult
